Pertinence	Question	Reponse
NON	Bonjour Je me posais une question concernant la pose de ma hotte Elica Belt 80cm, elle fait près de 20kg et doit venir se poser contre une cloison en placo de 5cm. Est-ce que de simple cheville molly (3points de fixations prévues) suffiront ? Dois-je renforcer la cloison pour éviter les mauvaises surprises ? Merci d'avance pour vos avis et retour d'expérience. Cordialement. Tams	Et ça résous pas le problème de les mettre au fond? Comme ça la tablette sera à fleur à gauche et à droite. Pour qu'elle soit à fleur au fond il suffira de tailler la tablette sur la largeur de la crémaillère (1 ou 2 cm) de manière à ce qu'elle se colle au mur. Il y a des équerres de 50 cm de long. Après faut que le mur soit solide mais en utilisant tous les points de fixation des crémaillères ça pose pas de souci. Au pire si sur une tablette vous voulez vraiment mettre du très très lourd, vous la renforcez avec des tasseaux sur les cotés vissés au travers du mélaminé. Rainurer les mélaminés pour encastrer les crémaillères me parait infiniment plus compliqué. 1
NON	Bonjour, Je suis en train d'acquérir un bien qui nécessite une rénovation complète. Je compte effectuer par moi l' isolation + tirer les câbles électriques (avec vérification d'un ami électricien par la suite) + plomberie (vérification d'un plombier par la suite). Je me suis fait une liste des outils à acheter que vous pouvez retrouver ici : Perceuse / Visseuse Scie sabre scie sauteuse Meuleuse (sur secteur) Perforateur (sur secteur) Malaxeur Laser Aspirateur (sur secteur) scie crocodile Je pensais m'orienter vers la marque Makita qui me semble pas mal du tout. Qu'en pensez-vous ? Ai-je oublié quelque chose ? Je pensais également prendre le Malaxeur de chez Einhell. Il y va de soit que je compte également me procurer le matériel qui va avec (mèches, foret, douilles...). Cordialement	Et une deuxieme de couler et de demouler, resultat  super comme la premiere, on peux donc les faire a la chaine sans soucis. . Tous mes amis qui passent a la maison en veulent. 3 2
NON	Bonjour, Je dois couper des tiges filetées pour notre faux plafond. Le problème cest que je dois en faire A peu près 700. Jai testé à la disqueuse mais ça prend beaucoup de temps car il faut faire pas mal de manipulations notamment pour ébarber. Avez-vous des techniques ou des outils pour cela ? Merci	Merci pour vos réponses! oui, je confirme que je souhaite installer un placard de rangement, avec 2 rails fixés sur le plafond et le sol, et 2 portes coulissantes. C'est ce qui permet le mieux d'optimiser la place dans le placard, et c'est probablement aussi la solution la plus économique. Rien que du très classique: c'est ce qu'on trouve chez leroy, casto, lapeyre, etc... Les sites internet de ces enseignes regorgent d'exemples où le rails sont fixés directement sur le plafond et le sol. Et c'est exactement ce que j'avais dans mon ancien appartement. Bref, je ne suis pas sur de comprendre la remarque qui dit que ça ne se fait jamais... Pas mal les 2 idées proposées, merci!! Celle de la planche fixée au plafond, sur laquelle on vient fixer le rail me semble peut-être la plus simple à réaliser. Je ne suis pas à 1cm près, pas de souci pour garder la planche. (je pense que je perdrais plus de place avec le plafond suspendu). On ne trouve pas (à ma connaissance) de portes de taille standard 1.80m, mais pas de souci pour en commander de la taille désirée, même dans les grandes enseignes citées ci-dessus. 1
NON	Bonjour à tous, Je souhaite construire un portail vertical de 3,5m qui s'enfoncera dans le sol lors de l'ouverture. Je réfléchis actuellement aux systèmes de transmission de mouvement entre le moteur et le portail . J'ai songé à un système de treuil avec le moteur dans l'un des deux poteaux mais le fait de tirer le portail que d'un côté ne va t'il pas poser problème lors de la remontée ? le portail pourra rester bien dans l'axe malgré tout ? Si vous avez d'autres idées n'hésitez pas ! Pour le reste je compte réaliser un coffrage en agglo banchés avec un espace de 75/100mm pour laisser passer le portail. Merci	La meuleuse est un outil dangereux, utile mais dangereux Dix sept points de suture sur la main gauche, j ai eu de la chance. Les disques ont une date sur l anneau central. Ils se degradent avec le temps et deviennent cassants. J ai eu du bol une fois, un vieux disque dans une boite de rangement, il a eclaté, je n ai rien pris, la protection sur la machine a bien fait son taf, mais un eclat a traverser le placo..... Depuis je me mefie, et surtout il faut changer les disques frequemment. Un disque usé perd en diametre et chauffe donc considerablement plus Des cisailles pour le placo c est bien plus sur a utiliser Scie sauteuse sur batterie tres bien. Cet outil ne fait rien dans un atelier, il sert un peu en dernier recours sur chantier Effectivement, pour une coupe pas trop deguelasse, on coupe en dessous, ou au moins, on decoupe la piece a l envers et de preference on met un scotch resistant sur le trace de coupe pour limiter les eclats. Mais ca reste mediocre Un outil multitool pas cher, ca sert peu, mais ca peut sauver une situation compliquée ou l acces est delicat. Un premier prix ira tres bien, c est un usage tres occassionel, mais ca peut sauver d une galere Aspirateur, un engin qui a un filtre de decolmatage c est utile quand on va poncer par exemple. Le fait que cette machine ait une prise asservie est tres pratique. pour la menuiserie j ai une midi de Festool, tres bien, mais tres cher. J ai aussi un machin Leroy Merlin pour le reste, c est bruyant, les filtres sont peu efficaces, mais ca suffit pour nettoyer un chantier Sinon, tu vas acheter pas mal de matos et te lancer dans un gros chantier. ATTENTION a la securite. On peut se blesser salement tres vite. Des chaussures costaud, a semelle tres epaisses et qui tiennent bien la cheville sont indispensables. Les gants sont utiles des que l on manipule des fourrures de placo je pense. Les lunettes de protection indispensables quand on meule, probleme, elles se salissent tres vite et du coup, on ne les met pas. Mais ca reste vraiment necessaire Attention en particulier aux escabeaux ou beaucoup utilisent un machin domestique en alu. Pas une bonne idee. J utilise un escabeau en acier, avec des marches larges. Ca pese un ane, mais les ecabeaux domestiques sont souvent tres limités en poids acceptable, genre 120 kilo, voir moins pour certains. Donc attention a ce point 3
OUI	Bonjour à tous, j'ai fait construire ma maison par un constructeur qui a fait l'ensemble des travaux sauf le carrelage et la décoration. J'ai donc posé moi même le carrelage après que le constructeur ait mis la dalle (chape liquide) en chauffe. Un moi après avoir posé le carrelage mon constructeur s'est rendu compte d'un problème sur la chaudière et donc m'a averti que la dalle n'avait pas été chauffée. Je lui ai donc demandé de me faire un courrier m'avertissant du problème au cas ou le carrelage bougerait. Ça fait maintenant 3 ans que je suis dans la maison et mon carrelage sonne creux (1 carreau sur 3). J'suis couvert par la Dommage ouvrage ? Pour info le carrelage n'a pas bougé au endroits où il n' y a pas de chauffage au sol... Merci d'avance pour vos réponses	
OUI	"Bonjour à tous, Je cherche une solution pour reproduire le produit ci-dessous : http://www.millumine.com/applique-murale/3325-applique-murale-enfant-fraicheur-bois-3662234013859.html Je bute sur l'assemblage des pièces en bois qui font office ""d'accordéon"". Je pensais à des rivets creux de diamètre 0.8 cm pour une longueur de 1.8 cm mais je ne sais pas où acheter cette quincaillerie et aussi comment les sertir (outil spécifique ?). Merci d'avance pour votre aide et autres idées alternatives"	Bonsoir, tu peut le faire avec des bouts de tube en cuivre 6/8 avec collets battus. 1
OUI	Bonjour Je cherche à faire des découpes propres dans de la tôle alu de 20cm de large, 2mm d'épais. Propre c'est à dire bien rectilignes et sans abîmer le laquage. J'ai testé divers outils sans arriver au résultat escompté: scie à métaux, fein, scie sauteuse. Est-ce qu'une carrelette électrique à eau peut faire l'affaire ? Merci pour vos conseils.	Ah, pour t'aider tu peux te servir d'un tasseau et de serre joint ;) Tu n'a plus qu'a te mettre contre le tasseau et de le suivre, ta découpe sera bien droite ! 1
OUI	Bonjour à tous, je dois créer un placard dans une chambre. Le placard sera entre 1 mur de la chambre et 1 cloison que j'ai montée pour faire le 2ème côté du placard (cloison placo alvéolaire). Le placard fera 1.50m de large et 60cm de profondeur (porte comprise). La hauteur sous plafond est de 2.80m (environ. voir la suite... ;)) Problème: rien n'est droit (maison ancienne...). Ma cloison a été posée bien verticale, mais le mur lui ne l'est pas. Et encore plus gênant, le plafond n'est pas non plus très horizontal... résultat: - j'ai 2cm d'écart entre la largeur mesurée en bas et en haut. Ca ne m'inquiète pas trop: je mettrai un cache sur le côté sur toute la hauteur pour masquer le jeu entre la porte et le mur en haut (là où c'est le plus large) - j'ai également 2cm d'écart entre la hauteur mesurée à gauche et à droite du placard. Et là, par contre, je suis beaucoup plus embêté. Si je fixe mes rails directement sur le sol et le plafond, je crains que l'écart soit tel que mes portes ne pourront pas coulisser sur toute la largeur. Ca va frotter à un moment... Je cherche donc un moyen de retrouver de l'horizontalité sur mon plafond dans le placard. J'ai pensé à mettre un tasseau sur lequel venir fixer mon rail, mais il faudrait qu'il fasse 0cm d'un côté et 2cm de l'autre ( ). Impossible de maitriser une telle découpe sur 1.50m de large, même si je prends quelques cm de large pour garder de la matière (par ex: 5 et 7 cm). Quelqu'un aurait-il une idée miracle? (à part tout faire faire par un menuisier pro... je n'ai malheureusement pas les moyens) Merci par avance pour votre aide!	Merci pour vos réponses! oui, je confirme que je souhaite installer un placard de rangement, avec 2 rails fixés sur le plafond et le sol, et 2 portes coulissantes. C'est ce qui permet le mieux d'optimiser la place dans le placard, et c'est probablement aussi la solution la plus économique. Rien que du très classique: c'est ce qu'on trouve chez leroy, casto, lapeyre, etc... Les sites internet de ces enseignes regorgent d'exemples où le rails sont fixés directement sur le plafond et le sol. Et c'est exactement ce que j'avais dans mon ancien appartement. Bref, je ne suis pas sur de comprendre la remarque qui dit que ça ne se fait jamais... Pas mal les 2 idées proposées, merci!! Celle de la planche fixée au plafond, sur laquelle on vient fixer le rail me semble peut-être la plus simple à réaliser. Je ne suis pas à 1cm près, pas de souci pour garder la planche. (je pense que je perdrais plus de place avec le plafond suspendu). On ne trouve pas (à ma connaissance) de portes de taille standard 1.80m, mais pas de souci pour en commander de la taille désirée, même dans les grandes enseignes citées ci-dessus. 1
OUI	Bonjour. Mes vacances au ski étant annulées, je vais pouvoir consacrer ma semaine de congés à mon chantier. Mais quand est-il des fournisseurs de matériaux ? J'ai bien compris que seuls les magasins de première nécessité seraient ouverts, mais pour ce qui est des fournisseurs de matériel pour l'industrie et le BTP, est-ce qu'ils vont fermer aussi ?, mettant au chômage tous les travailleurs ? Est-ce qu'ils sont considérés comme des commerces, ou pas ? BigMat, PointP, Richardson, Rexel, Prolians,... J'imagine que les GSB seront concernées par contre.	"Oui oui, c'est bien ce que je dis personne ne veut respecter le confinement parce que tout le monde à un ""mais moi je..."" à sortir donc personne ne va le respecter parce qu'un france on est toujours plus fort et plus intelligent que les autres, et quand on comptera les morts à la fin, les mêmes viendront critiquer le manque d'action des autres et surtout sans remettre en question ses propre choix ""To do is to be"" - Nietzsche ""To be is to do"" - Kant ""Do be do be do"" - Sinatra 8"
OUI	Bonjour, [font=HelveticaNeueLTStd55Roman, Helvetica, Arial, sans-serif]Pour sceller des piquets (fer) pour 2 m de grillage de hauteur (face au vent),vaut il mieux faire un trou et sceller directement dans le trou de la terre (dimension du trou?),faire une chape,pose d'un parpaing et sceller dans la chape et le parpaing (dimension de la chape?),que feriez vous à ma place,biensur,si vous avez d'autres idées,je vous remercie de vos réponses,cordialement	"Bonjour, Ca dépend du grillage et du terrain. Si vous posez du grillage semi rigide, il faut un support plat. Dans ce cas, on fait souvent un muret et on pose sur le muret. Donc fondation du muret hors gel et redans éventuels si le muret ne rattrape pas la pente. Si vous posez du simple torsion, il peut suivre le terrain, vous pouvez donc sceller directement au sol Si vous posez des panneaux rigides, vous pouvez sceller au sol avec un redans à chaque panneau en cas de pente et l'obligation de niveler sous le panneau. Pour les scellements au sol, je dirai 50 cm mini (fonction de ce qui doit dépasser aussi ;)). Le mieux est de faire un trou avec une tarière ; ca évite d'ouvrir un cratère en tête. Pour le béton, vous prenez un béton ""bordure"" c'est à dire assez sec pour tenir le poteau d'aplomb sans soutien et vous tassez bien à la masse (donc un trou avec grand pour passer le poteau au centre et la masse sur les côtés Si vous scellez dans des agglo, une cloison suffit. On est bien d'accord vous posez un grillage pas un occultant ! 2"
OUI	Bonjour, Je possède une vieille ferme en pierre du pays qui a été rénovée (je n'ai pas effectué moi-même la rénovation). A premier étage, c'est toujours le vieux plancher mais en bon état. Tous les ans, dès que les beaux jours reviennent (fin mars, début avril), on sent une odeur de plantes dans certaines pièces. Honnêtement, ça ressemble un peu au cannabis... Inutile de préciser que non, on a pas de plantation Impossible de savoir si ça vient du toit ou du plancher. Dans ces pièces, on a pas accès au toit sans casser le plaffonnage. Au bout d'un mois ou deux, l'odeur disparait totalement jusqu'à l'année suivante. On dirait une floraison... Aucune trace d'humidité, au contraire, les pièces sont fort sèches. Les murs et le sol sont en parfait état. Avez-vous déjà rencontré ce problème ? Doit-on plutôt arracher le plancher ou les tuiles du toit pour trouver la cause ? Est-ce toxique ? On a des souris de temps en temps, mais ça ne pue pas la charogne, ça sent vraiment le végétal. Mais pas pourri. Merci d'avance pour vos conseils.	Bonjour à tous, je suis frappé du même mal que vous. j'habite en Belgique, à la campagne. ma maison est récente, elle a 11 ans. j'ai depuis des années une odeur ressemblant au joint qui apparaît systématiquement au printemps, dure 1 mois puis disparaît. ce qui était assez paradoxale, c'était le côté mobile de l'odeur, ça ne restait pas dans la même pièce et pouvait disparaître en 2 jours. un jour, j'ai entendu du bruit dans ma hotte. j'ai pu voir via la grille d'évacuation que c'était une musaraigne. en Belgique, on met un espace vide(coulisse) entre l'isolant et la brique de façade. j'ai des musaraignes qui se baladent dans la coulisse de ma maison. parfois, je les entends gratter dans les murs. une année, dans mon garage, j'en ai capturé 10 en 8 jours. cette année, la mauvaise odeur est arrivée plus tôt dans l'annexe que je construis. j'ai replacé le piège. BOUM! 4 en 2 jours. 7 au total sur 6 jours. j'ai trouvé la source de l'odeur. la musaraigne qui nidifie pue effroyablement, difficile d'imaginer une si petite bête remplir 125m de l'annexe d'air de puanteur. l'odeur est un peu différente mais c'est très concentré. depuis que j'ai eu ces 7 musaraignes, l'odeur a disparu dans la maison. toutes ont été déposée dans un bois à qq centaines de mètres de chez moi. en été je boucherai avec des morceaux de grillage toutes les aérations de la coulisse. c'est tout petit et ça se faufile. 2
OUI	Salut, La question peut sembler toute bête mais j'ai tout tenté et rien ^^ Je cherche à enlever cette vis sur mon ordinateur : http://hpics.li/9921f07 http://hpics.li/0c378b9 http://hpics.li/dd13d01 J'ai tenté avec une clé mais ça n'a pas l'air de fonctionner ( http://hpics.li/13a0d0c ) Il y a du matériel spécial pour enlever des vis d'ordinateurs ? PS : ça s'appelle peut-être un écrou, à me confirmer ! Merci de votre aide !	Sur la première photo, on voit bien que la tôle du dessus est prévue pour être glissée vers l'arrière... passe la lame d'un tournevis entre la tôle blanche et la grise. L'anneau sert à poser un cadenas qui empêche d'avoir accès à l'intérieur du PC pour y voler des composants.Pour ce faire il faut peut être enlever celle du dessus... tu nous fais une vue d'ensemble? si la façade est en plastique, il faut peut être la déboiter pour trouver les vis derrière. Fais-nous plus de photo, ce que tu nous montres sont des rives, il ne faut pas les démonter, ça ne te donnera rien de plus. olivier 2
OUI	Bonjour, Ma situation : je chauffe ma maison avec un poêle à granulets et je les stock tous dans ma cave. Et 2x par mois, j'en remonte dans ma monté de cave afin de ne pas descendre dans celle-ci à chaque fois. Ayant un peu mare de me cassé le dos à aller les chercher sur le support que j'ai ''fait'' (4 planches posé sur les parpaing entourant la trémie de l' escalier ) , j'aimerais savoir s'il existe un système permettant de les rapprocher du haut de mon escalier, en les faisant coulisser, rouler etc... Sachant que : de chaque côté ce système reposera donc sur des parpaing, venant du décochement fait pour la mise en place de l'escalier ce système devra être capable de supporter 300kg J'espère avoir été clair	Bonsoir Perso j'utiliserai des rails et roulettes pour portail coulissant. Pas trop cher et nickel niveau charge Par exemple,le rail,facile à fixer. http://www.habitat-automatisme.com/rail-a-visser-369p-portai [...] ortail-profil-rond.html Et les roulettes,3oo kg par paire. http://www.habitat-automatisme.com/roue-avec-support-385080p [...] fpfCi88wCFcSRGwod30QC5w 1
OUI	Bonjour Je me posais une question concernant la pose de ma hotte Elica Belt 80cm, elle fait près de 20kg et doit venir se poser contre une cloison en placo de 5cm. Est-ce que de simple cheville molly (3points de fixations prévues) suffiront ? Dois-je renforcer la cloison pour éviter les mauvaises surprises ? Merci d'avance pour vos avis et retour d'expérience. Cordialement. Tams	Bonsoir Tu ne peux pas faire quelques trous supplémentaire dans la carcasse de la hotte pour rajouter quelques Fixations pour mieux repartir la charge? 1
OUI	Bonjour, Je suis en train d'acquérir un bien qui nécessite une rénovation complète. Je compte effectuer par moi l' isolation + tirer les câbles électriques (avec vérification d'un ami électricien par la suite) + plomberie (vérification d'un plombier par la suite). Je me suis fait une liste des outils à acheter que vous pouvez retrouver ici : Perceuse / Visseuse Scie sabre scie sauteuse Meuleuse (sur secteur) Perforateur (sur secteur) Malaxeur Laser Aspirateur (sur secteur) scie crocodile Je pensais m'orienter vers la marque Makita qui me semble pas mal du tout. Qu'en pensez-vous ? Ai-je oublié quelque chose ? Je pensais également prendre le Malaxeur de chez Einhell. Il y va de soit que je compte également me procurer le matériel qui va avec (mèches, foret, douilles...). Cordialement	La meuleuse est un outil dangereux, utile mais dangereux Dix sept points de suture sur la main gauche, j ai eu de la chance. Les disques ont une date sur l anneau central. Ils se degradent avec le temps et deviennent cassants. J ai eu du bol une fois, un vieux disque dans une boite de rangement, il a eclaté, je n ai rien pris, la protection sur la machine a bien fait son taf, mais un eclat a traverser le placo..... Depuis je me mefie, et surtout il faut changer les disques frequemment. Un disque usé perd en diametre et chauffe donc considerablement plus Des cisailles pour le placo c est bien plus sur a utiliser Scie sauteuse sur batterie tres bien. Cet outil ne fait rien dans un atelier, il sert un peu en dernier recours sur chantier Effectivement, pour une coupe pas trop deguelasse, on coupe en dessous, ou au moins, on decoupe la piece a l envers et de preference on met un scotch resistant sur le trace de coupe pour limiter les eclats. Mais ca reste mediocre Un outil multitool pas cher, ca sert peu, mais ca peut sauver une situation compliquée ou l acces est delicat. Un premier prix ira tres bien, c est un usage tres occassionel, mais ca peut sauver d une galere Aspirateur, un engin qui a un filtre de decolmatage c est utile quand on va poncer par exemple. Le fait que cette machine ait une prise asservie est tres pratique. pour la menuiserie j ai une midi de Festool, tres bien, mais tres cher. J ai aussi un machin Leroy Merlin pour le reste, c est bruyant, les filtres sont peu efficaces, mais ca suffit pour nettoyer un chantier Sinon, tu vas acheter pas mal de matos et te lancer dans un gros chantier. ATTENTION a la securite. On peut se blesser salement tres vite. Des chaussures costaud, a semelle tres epaisses et qui tiennent bien la cheville sont indispensables. Les gants sont utiles des que l on manipule des fourrures de placo je pense. Les lunettes de protection indispensables quand on meule, probleme, elles se salissent tres vite et du coup, on ne les met pas. Mais ca reste vraiment necessaire Attention en particulier aux escabeaux ou beaucoup utilisent un machin domestique en alu. Pas une bonne idee. J utilise un escabeau en acier, avec des marches larges. Ca pese un ane, mais les ecabeaux domestiques sont souvent tres limités en poids acceptable, genre 120 kilo, voir moins pour certains. Donc attention a ce point 3
OUI	Bonjour, Je dois couper des tiges filetées pour notre faux plafond. Le problème cest que je dois en faire A peu près 700. Jai testé à la disqueuse mais ça prend beaucoup de temps car il faut faire pas mal de manipulations notamment pour ébarber. Avez-vous des techniques ou des outils pour cela ? Merci	Bonsoir les coupeurs de tiges, Ici j'ai fait des fagots d'une vingtaine de tiges solidement fixés avec du scotch renforcé. On trace et en un coup de disqueuse (1 minute) on a deja 20 longueurs... Un rapide coup de disqueuse a 45 degrés (tige qu'on fait rouler a plat de la main gauche, en appuyant doucement a 45° la disqueuse de la main droite. Hyper rapide. Ca c'était avant. Après j'ai acheté le coupe rail et fourrures edma dont quelqu'un parle plus haut, avec le coupe tige fileté intégré. Avec la butée ca prend 5 secondes par longueur c'est franchement top et sans bavure. Ca c'était avant d'avoir fini. Maintenant que j'ai fini, la prochaine fois je prendrais des suspentes sequables pour ne pas me faire c... Suer 3 1
OUI	Bonjour à tous, Je souhaite construire un portail vertical de 3,5m qui s'enfoncera dans le sol lors de l'ouverture. Je réfléchis actuellement aux systèmes de transmission de mouvement entre le moteur et le portail . J'ai songé à un système de treuil avec le moteur dans l'un des deux poteaux mais le fait de tirer le portail que d'un côté ne va t'il pas poser problème lors de la remontée ? le portail pourra rester bien dans l'axe malgré tout ? Si vous avez d'autres idées n'hésitez pas ! Pour le reste je compte réaliser un coffrage en agglo banchés avec un espace de 75/100mm pour laisser passer le portail. Merci	Bonjour, Je n'y connais rien et je ne suis pas sure de la faisabilité, mais je trouve cette idée pas mal du tout quand on n'a pas la place de faire un portail coulissant horizontal ou un battant. Juste une idée comme ça, et pourquoi ne pas faire un système avec un vérin de chaque côté? C'est peut-être idiot mais moi, j'aurais plus confiance dans un vérin et encore mieux s'il y en a 2. 1
OUI	Bonjour à tous et toutes ,je suis de Belgique je tiens à le préciser .Ne sachant ou mettre mon message je les mis dans ce forum bricolage,je m'en excuse d'avance j'ai un problème avec mon volet électrique Winsol . e vous explique il y a 3 ans de cela (rénovation de la maison donc pose de nouveaux châssis en PVC avec volet électrique pour le bas) ; le problème avec un des châssis le volet de gauche descend jusqu'en bas mais le matin quand je veux le monter j'ai beau essayé il refuse de monter mais on entend un petit bruit comme si le moteur voudrais se mettre en route mais rien ne se passe bien entendu au bout d'un temps il se décide enfin à monter jusqu'en haut . Pourquoi me fait il cela ??? le problème c'est que celui qui me l'a installé m'a mit le caisson du volet entre le faux plafond de mon salon et le plancher de ma chambre (voir photos) comme j'ai déjà eu des soucis auparavant avec les volet il a dû découpé le dessus à l'aide d'une disqueuse pour pouvoir accéder au volet mais il n'a jamais trouvé la panne du coup je me retrouve avec un volet qui ne fonctionne pas !!!!(plus de nouvelle de cette ouvrier ) comment accédé au moteur ??? merci d'avance pour votre aide	Bonjour, le condensateur doit être mort, il va falloir sortir le moteur de l'axe, et bien sur sortir l'axe du volet. 1 vous décrocher le rideau du volet (attache noir) 2 débrancher la partie électrique. 3 du coté ou on voit la pièce en plastique normalement vous avez 2 rivets pop sur l'axe qu'il faut faire sauter à la perceuse. 4 vous faite coulisser la pièce en plastique noir à l'intérieur de l'axe en tôle se qui vous permettra de retirer tout l'ensemble. 5 remplacer le condo qui se trouve dans le moteur, ou remplacer le moteur. 6 la même chose à l'envers. bon courage 1
OUI	Bonjour je m'explique. Je suis en train de poser une aspiration centralisée, mais je bute sur le prix des centrales... J(envisage donc d'y mettre à la place des aspirateurs traîneaux ordinaires avec un bidon vide cendre entre les  tubes et l'aspi. J'aimerais qu'on m'explique pourquoi c'est voué à l'échec (éventuellement) et qu'on me dise comment comparer les puissances d'aspiration  (airwatt) ou autres car il n'y a jamais les mêmes paramètres sur les différents modèles, et si j'ai bien compris cette puissance en airwatt dépend du chaque fabriquant, alors comment s'y retrouver? J'ai assimile les valeurs de dépression mmCE (colonne d'eau) ou mm de Hg, mais comment comparer? Olivier	"Bonjour, je tombe sur ce sujet et je ne peux m'empêcher d'y répondre car je suis très informé sur le produit puisque je le vends depuis 25 ans. j'utilise depuis 10 ans un modèle axpir de chez aldes, modèle démmarant par onde d'air dans le tuyau (le modèle à changé et fonctionne désormais par vibrations) d'abord, utiliser un aspirateur bidon en lieu et place du modèle d'origine est tout à fait possible... j'ai un ami qui à fait ça, j'étais septique au départ mais ça marche très bien à condition de choisir un modèle de bidon important en volume qui à une ""colonne d'eau"" convainquante. il à rajouté une commande radio de chez delta dore, qu'il à fixé sur le bras de l'aspirateur pour le démmaré à distance. alors attention, le copain en question avait déjà son aspirateurbidon... si tu dois en acheter un pour la transformation,pas sur que ce soit très intéressant financièrement. une centrale pour 200m2 doit couter 800 euros hors taxes, tu vas pas gagner énormément... 1"
OUI	"Bonjour, Je souhaite réaliser l'aménagement de mon placard de chambre (dimensions 180x243 sur 50cm de profondeur de tablette) la semaine dernière j'ai réalisé le placard de la salle de jeux des enfants avec des planches de mélaminé + crémaillères, malgré quelques prises de tete avec les equerres (renovation) le final est tout a fait correct ... pour une salle de jeux. Dans notre chambre je pense faire sur une partie du placard des blocs de 28/29cm de large (et surement meme dimension en hauteur d'ailleurs), en optant pour le système de crémaillères je ne trouve pas çà nickel, je perds 5mm de chaque coté minimum, sur de grandes tablettes pas de soucis mais sur des petites, j'aimerais arriver à quelque chose de plus ""fini"", comme un vrai aménagement de placard. comment m'y prendre ? existe t il une méthode pour trouer mes planches de mélaminées aux enroits voulus et ainsi y insérer des taquets de façon à avoir des tablettes qui rentrent ""pile poil"" entre mes panneaux verticaux ? merci (j'espère etre claire)"	Et ça résous pas le problème de les mettre au fond? Comme ça la tablette sera à fleur à gauche et à droite. Pour qu'elle soit à fleur au fond il suffira de tailler la tablette sur la largeur de la crémaillère (1 ou 2 cm) de manière à ce qu'elle se colle au mur. Il y a des équerres de 50 cm de long. Après faut que le mur soit solide mais en utilisant tous les points de fixation des crémaillères ça pose pas de souci. Au pire si sur une tablette vous voulez vraiment mettre du très très lourd, vous la renforcez avec des tasseaux sur les cotés vissés au travers du mélaminé. Rainurer les mélaminés pour encastrer les crémaillères me parait infiniment plus compliqué. 1
OUI	Bonjour, Je me lance dans une grosse rénovation et je souhaite acquérir un perforateur HILTI. Je suis allé voir sur le site HILTI mais tout les prix sont sur demande, pour les consulter il faut être inscrit sur le site mais pour m'inscrire je doit rentrer le Nom de la société, comme je suis un particulier et je n'ai pas d'entreprise je ne peut pas remplir ce champ. Comment je pourrai faire pour accéder aux prix en ligne ? merci d'avance.	"Perso, en usage pro, j'utilise perforateurs, carotteuses, perceuses avec et sans fil, scie circulaire et scie sauteuse Avant j'avais du hilti pour tout Depuis 5 ou 6 ans, je suis passé chez makita Aucune soucis de matériel (pas plus de casse ou de panne) Mais budget divisé par 2 en achat ""To do is to be"" - Nietzsche ""To be is to do"" - Kant ""Do be do be do"" - Sinatra 1"
OUI	Bonjour, J'aurais besoin de quelques conseils. Je veux réaliser une sphère ( diamètre 60 cm) en béton que je vais couler dans un moule  en plâtre si cela est possible. Mon idée : je réalise un moule en plâtre  sans doute en deux parties pour couler une sphère. Dans le moule à réaliser la sphère est un ballon de gymnastique que je place à l'intérieur d'une caisse en bois. Je peux faire le coulage en une seule fois car j'ai la possibilité de laisser un passage cylindrique d'un diamètre de 150 à 200 qui me permettra de couler la sphère en béton mais aussi de retirer le ballon une fois le moule fini. En coulant en une seule partie, le moule est  bien sûr perdu. En deux parties cela me semble possible mais j'avoue que je ne sais rien de la solidité du moule et donc de la possibilité de le réutiliser. Mes questions : le coulage du plâtre va me poser des difficultés car je dois attendre un peu que le plâtre prenne pour éviter au ballon de remonter ( poussée d'Archimède ) c'est pour cette raison que je ne pense pas possible de  faire le moule en béton. Une fois le moule réalisé, pour retirer le ballon de gymnastique, il faudra sans doute que je mette sur la surface du ballon un produit pour qu'il se décolle facilement du plâtre ? J'aurai d'autres questions. Mais il me faudra sans doute donner des précisions aux explications que je viens fournir. Cordialement.	Et une deuxieme de couler et de demouler, resultat  super comme la premiere, on peux donc les faire a la chaine sans soucis. . Tous mes amis qui passent a la maison en veulent. 3 2
NON	Bonjour, J'ai prevu des fourreau sur ma terrasse pour acceuillir des borne luminaire, malheureusement j'ai couper la gaine et les cable trop court (3 cm du carrelage de la terrasse). J'ai peur que l'eau qui va passer sous luminaire et qui va stagner dans le lumaire puisse innonder le fourreau voir monter jusqu'a la boite de derivation a l'interieur du luminaire ou les branchement electrique se font. Je vous ai mis en photo le socle de luminaire ou ce dernier vient se poser. Qu'en pensez vous? Merci d'avance http://hpics.li/d4cfe36	Le cutter j'y crois pas du tout, même avec un bon. Par contre ça devrait le faire avec une cisaille assez fine et en enfonçant dans le placo la lame qui passe derrière, pour éviter de décoller encore la bande. J'en ai posé récemment, de la bande armée, pour eds cloisons à 120°... Celle que j'avais, tu pouvais oublier le cutter pour sectionner la partie métallique... Coupée avec une cisaille, la partie métallique se déforme légèrement, il était nécessaire de la redressé un peu avec une petite pince plate ==> compliqué donc de le faire sur place avec le reste de la bande collée au mur... Pour moi : -suppression de la bande armée - remise en place d'une cornière placo si angle 90° - enduit + peinture des murs concernés Même avec les ouvertures EN BAS, un drain reste efficace... http://www.forumconstruire.com/construire/topic-314404_start-30.php#4531384 3
